,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Shisa6,1.13E-14,-0.41030882,0.237,0.353,3.93E-10,,Ikzf1,Ikzf1,0.054949307,1
Asap1,1.20E-14,-0.254162986,0.556,0.692,4.20E-10,,Phf6,Phf6,0.015858558,1
Ubash3b,1.38E-14,-0.26877885,0.465,0.585,4.80E-10,,Tcf7l1,Tcf7l1,0.019491169,1
Gm2516,1.53E-14,0.418813094,0.142,0.062,5.35E-10,,Cbx3,Cbx3,0.068440478,1
Gm42993,2.20E-14,0.384051621,0.182,0.095,7.66E-10,,Ccny,Ccny,-0.054981084,1
Etv1,2.60E-14,0.509000536,0.18,0.095,9.06E-10,,Kdm4a,Kdm4a,0.013895901,1
Fam135b,3.13E-14,-0.325814602,0.415,0.541,1.09E-09,,Smc5,Smc5,0.068866974,1
Col26a1,3.48E-14,-0.331554778,0.154,0.248,1.21E-09,,Hnrnpu,Hnrnpu,-0.015874028,1
Pde8b,3.52E-14,-0.301857111,0.357,0.473,1.23E-09,,Osr1,Osr1,0,1
Iqgap2,3.60E-14,-0.33650319,0.288,0.405,1.26E-09,,Arid3a,Arid3a,0.055642871,1
Scn8a,3.61E-14,-0.260594194,0.528,0.651,1.26E-09,,Btaf1,Btaf1,0.029169195,1
Rab27b,5.19E-14,-0.268045711,0.336,0.455,1.81E-09,,Kat8,Kat8,-0.028370564,1
Zic1,5.95E-14,0.290302319,0.044,0.003,2.07E-09,,Hdac1,Hdac1,0.050069198,1
Hunk,6.26E-14,-0.336231654,0.189,0.284,2.18E-09,,Ebf2,Ebf2,-0.002276067,1
Slc6a1,7.33E-14,-0.271851985,0.553,0.689,2.56E-09,,Sox3,Sox3,0.004540905,1
Ptprk,7.74E-14,0.64968759,0.229,0.136,2.70E-09,,Zic3,Zic3,0.04234164,1
Cux2,9.03E-14,-0.301240546,0.323,0.429,3.15E-09,,Mta2,Mta2,0.02719065,1
Hdac9,1.32E-13,0.790613022,0.74,0.692,4.59E-09,,Neurog2,Neurog2,-0.001548775,1
Grin3a,1.36E-13,-0.449337572,0.263,0.375,4.74E-09,,Prdm13,#N/A,,
Plxna2,1.75E-13,-0.281257214,0.375,0.487,6.11E-09,,Smarcc1,Smarcc1,0.088191281,1
Nebl,1.90E-13,-0.233035023,0.675,0.79,6.63E-09,,Tcf7,Tcf7,0.054216711,1
Ppm1h,1.96E-13,-0.248781525,0.423,0.539,6.85E-09,,Sirt6,Sirt6,-0.014566085,1
Cst3,1.98E-13,0.387048353,0.634,0.541,6.91E-09,,Nfkb1,Nfkb1,0.007728426,1
Gm29784,2.49E-13,0.210413175,0.038,0.001,8.67E-09,,Rag1,Rag1,-0.000410429,1
Gfpt2,2.49E-13,-0.254505948,0.123,0.211,8.68E-09,,Dpy30,Dpy30,0.039048508,1
Scn1a,2.77E-13,-0.215319929,0.632,0.762,9.66E-09,,Runx2,Runx2,-0.152122342,1
Kcnh5,2.95E-13,0.526349652,0.219,0.133,1.03E-08,,Tbx3,Tbx3,0.001415045,1
Dnajc6,3.25E-13,-0.267044858,0.55,0.663,1.13E-08,,Kdm5c,Kdm5c,0.068409762,1
Zfp608,3.36E-13,0.403816213,0.579,0.485,1.17E-08,,Smad4,Smad4,0.087615359,1
Cracdl,4.21E-13,0.38591459,0.166,0.087,1.47E-08,,Dmc1,Dmc1,0.0002648,1
Tshz3,4.33E-13,-0.30106913,0.238,0.34,1.51E-08,,Isx,Isx,0,1
Ano3,4.41E-13,0.835402313,0.333,0.242,1.54E-08,,Stat5b,Stat5b,0.100118687,1
Coro6,4.43E-13,-0.280043037,0.21,0.307,1.55E-08,,Notch1,Notch1,-0.01330147,1
Macrod2,4.72E-13,0.608020858,0.906,0.923,1.64E-08,,Shox2,#N/A,,
Cemip,4.85E-13,-0.445043134,0.254,0.354,1.69E-08,,Med12,Med12,0.033045878,1
Dnah11,4.89E-13,0.368006218,0.062,0.013,1.70E-08,,Etv5,Etv5,-0.14859022,0.009434039
Mkx,4.91E-13,-0.300582449,0.315,0.429,1.71E-08,,Gps2,Gps2,0.106600648,1
Gabrb3,5.35E-13,0.635938944,0.863,0.836,1.87E-08,,Usf2,Usf2,-0.019620574,1
Elmo1,5.48E-13,0.433338214,0.395,0.291,1.91E-08,,Tgif1,Tgif1,0.001053006,1
A330015K06Rik,5.57E-13,-0.232210389,0.43,0.567,1.94E-08,,Kdm6a,Kdm6a,0.085546277,1
Scn3a,5.89E-13,0.394255401,0.342,0.242,2.05E-08,,Myod1,Myod1,0,1
