,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Dpf3,0.000113575,-0.269677183,0.285,0.341,1,,Isx,Isx,0,1
Syne1,0.000114333,-0.180651929,0.732,0.797,1,,Stat5b,Stat5b,-0.011477787,1
Prss56,0.000114882,0.114493443,0.013,0,1,,Notch1,Notch1,-0.029310572,1
Crtc1,0.000124002,0.180811093,0.071,0.037,1,,Shox2,#N/A,,
Ap3m1,0.000126528,0.18880477,0.288,0.213,1,,Med12,Med12,-0.037418765,1
2610307P16Rik,0.000131887,0.325347052,0.082,0.045,1,,Etv5,Etv5,-0.071901983,1
Atp2b1,0.000134308,-0.318818601,0.43,0.47,1,,Gps2,Gps2,0.124390733,1
Pkib,0.000134655,-0.108406988,0.003,0.017,1,,Usf2,Usf2,0.024158349,1
Ttyh1,0.00014152,0.201086988,0.642,0.57,1,,Tgif1,Tgif1,-0.009310977,1
Arhgap6,0.000146532,0.395088963,0.098,0.058,1,,Kdm6a,Kdm6a,0.040305841,1
Tnik,0.000147732,0.181890038,0.79,0.77,1,,Myod1,Myod1,0,1
Bmp6,0.000149195,0.333841135,0.123,0.077,1,,Nipbl,Nipbl,0.136555417,1
Sema6d,0.000149607,-0.226737505,0.525,0.565,1,,Nr1h4,Nr1h4,0.076081169,1
Dock11,0.00015466,0.235631383,0.171,0.117,1,,Mef2c,Mef2c,-0.251343216,1
Cd63,0.000158759,0.18123151,0.216,0.156,1,,Gtf2b,Gtf2b,0.039507472,1
Filip1,0.000159135,0.162189273,0.022,0.004,1,,Tp63,#N/A,,
Frrs1l,0.000163515,-0.279600119,0.121,0.17,1,,E2f3,E2f3,-0.045824336,1
Hnrnpa2b1,0.000166901,0.16331983,0.789,0.723,1,,Pax5,Pax5,0,1
Car2,0.000169219,-0.275873084,0.213,0.261,1,,Arnt2,Arnt2,-0.107205904,1
Tmtc4,0.000169734,0.405244619,0.146,0.098,1,,Smad2,Smad2,0.01758282,1
Clcn2,0.000172894,0.21993202,0.147,0.097,1,,Rag2,Rag2,-0.008217409,1
Cmya5,0.000177283,0.182259443,0.074,0.039,1,,Rarb,Rarb,0.174432778,1
Wnk2,0.000180277,0.206738959,0.492,0.416,1,,Nelfb,Nelfb,0.065050647,1
Lamp5,0.000182486,-0.190267385,0.04,0.072,1,,Zbtb17,Zbtb17,0.048434486,1
