,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
147,Cst3,1.79E-55,0.414046514,0.63,0.522,6.23E-51,1.12E-117,0.662233789,0.711,0.522,3.91E-113,0
148,Cttnbp2,1.02E-26,-0.156508347,0.853,0.901,3.57E-22,3.57E-33,-0.174216218,0.844,0.901,1.24E-28,1
149,Cux1,3.94E-25,-0.262850517,0.377,0.458,1.37E-20,3.22E-22,-0.27249857,0.39,0.458,1.12E-17,0
150,Cx3cl1,6.33E-08,0.138854675,0.538,0.51,0.002208389,7.05E-30,-0.184252141,0.424,0.51,2.46E-25,0
151,D130043K22Rik,1.28E-30,-0.204901666,0.432,0.527,4.47E-26,2.18E-09,-0.104849048,0.488,0.527,7.62E-05,2
152,Dbp,7.06E-15,0.144966959,0.163,0.117,2.46E-10,6.64E-14,0.161015867,0.167,0.117,2.32E-09,0
153,Dclk1,7.07E-30,-0.138029589,0.933,0.965,2.46E-25,3.21E-08,-0.051962727,0.928,0.965,0.001120421,0
154,Dcp1b,1.28E-16,-0.11124709,0.177,0.238,4.46E-12,4.91E-08,-0.089366774,0.2,0.238,0.001711672,0
155,Dcx,2.75E-64,-0.292488821,0.352,0.497,9.60E-60,3.44E-10,-0.095435476,0.449,0.497,1.20E-05,0
156,Ddhd1,1.02E-06,-0.062272101,0.38,0.427,0.0357229,8.38E-08,-0.079729765,0.39,0.427,0.002920488,0
157,Ddx17,5.14E-61,-0.280799808,0.529,0.651,1.79E-56,1.61E-26,-0.196408123,0.58,0.651,5.61E-22,0
158,Dgkh,3.42E-11,-0.109400607,0.626,0.69,1.19E-06,5.03E-07,-0.063631321,0.648,0.69,0.017525848,0
159,Dgki,8.10E-20,-0.1365949,0.851,0.897,2.82E-15,3.97E-22,-0.137091159,0.848,0.897,1.38E-17,0
160,Dgkz,2.91E-20,-0.132837326,0.53,0.612,1.01E-15,4.53E-34,-0.21985376,0.525,0.612,1.58E-29,0
161,Dhx57,5.80E-13,-0.093809955,0.326,0.388,2.02E-08,2.35E-09,-0.097939939,0.342,0.388,8.20E-05,0
162,Diaph2,5.64E-87,-0.374401796,0.602,0.727,1.97E-82,1.04E-23,-0.186257641,0.663,0.727,3.63E-19,0
163,Dip2b,2.98E-15,-0.10716002,0.724,0.778,1.04E-10,2.01E-22,-0.152630197,0.726,0.778,7.01E-18,0
164,Dleu2,1.66E-40,-0.234482242,0.418,0.53,5.78E-36,3.90E-20,-0.176240433,0.46,0.53,1.36E-15,0
165,Dmd,5.20E-47,-0.187752202,0.932,0.968,1.81E-42,3.63E-13,0.11368902,0.92,0.968,1.27E-08,0
166,Dnmt3a,2.95E-25,-0.175070865,0.574,0.651,1.03E-20,2.10E-17,-0.151107971,0.596,0.651,7.31E-13,0
167,Dock3,1.95E-52,-0.208320725,0.895,0.941,6.81E-48,7.74E-10,-0.07677871,0.895,0.941,2.70E-05,0
168,Dok5,3.54E-10,-0.09659524,0.252,0.303,1.24E-05,6.17E-16,-0.15559508,0.242,0.303,2.15E-11,0
169,Dop1b,4.31E-30,-0.175997295,0.342,0.445,1.50E-25,4.52E-17,-0.132835192,0.376,0.445,1.58E-12,0
170,Drp2,4.87E-17,-0.11658335,0.213,0.278,1.70E-12,4.75E-11,-0.114549522,0.229,0.278,1.66E-06,0
171,Dst,4.74E-08,-0.073082743,0.851,0.885,0.001653396,3.16E-11,-0.090515114,0.841,0.885,1.10E-06,0
172,Dtna,4.16E-16,-0.111202364,0.644,0.717,1.45E-11,1.63E-15,-0.105125872,0.662,0.717,5.67E-11,0
173,E130307A14Rik,1.11E-14,-0.124175022,0.407,0.476,3.87E-10,3.27E-07,-0.079340301,0.438,0.476,0.011387947,0
174,Ebpl,6.17E-08,0.070599663,0.09,0.064,0.002152688,9.41E-08,0.043205623,0.092,0.064,0.003280637,0
175,Ece1,2.22E-19,-0.120632966,0.188,0.255,7.73E-15,5.42E-13,-0.128761422,0.204,0.255,1.89E-08,0
176,Eef1a1,1.03E-86,0.493654868,0.598,0.459,3.57E-82,6.08E-11,0.249984413,0.519,0.459,2.12E-06,0
177,Eef1b2,1.47E-38,0.327603778,0.246,0.157,5.12E-34,3.03E-08,0.181575202,0.197,0.157,0.001056726,0
178,Eef1g,4.04E-16,0.200534134,0.245,0.189,1.41E-11,2.36E-08,0.124846454,0.234,0.189,0.000824562,0
179,Efr3b,1.47E-09,-0.089253047,0.435,0.489,5.11E-05,1.06E-06,-0.085224038,0.454,0.489,0.036798139,0
180,Egr1,5.41E-185,0.656885093,0.412,0.187,1.89E-180,6.62E-32,-0.186815704,0.11,0.187,2.31E-27,1
181,Egr3,9.24E-60,0.303715977,0.221,0.115,3.22E-55,6.26E-17,-0.118578723,0.07,0.115,2.18E-12,1
182,Egr4,9.39E-43,0.217652197,0.123,0.054,3.27E-38,2.32E-11,-0.074474744,0.028,0.054,8.10E-07,0
183,Elob,7.75E-64,0.388497331,0.36,0.231,2.70E-59,1.02E-08,0.179924274,0.28,0.231,0.000355102,0
184,Enah,5.96E-13,-0.130641532,0.586,0.645,2.08E-08,1.43E-07,-0.095374861,0.612,0.645,0.004969897,1
185,ENSMUSG00000120164,1.98E-20,-0.141906254,0.033,0.069,6.91E-16,1.90E-09,-0.10188474,0.042,0.069,6.61E-05,0
186,ENSMUSG00000121060,5.19E-20,0.088419685,0.067,0.031,1.81E-15,6.86E-13,0.068280993,0.059,0.031,2.39E-08,0
187,Epb41l5,3.60E-10,-0.053493912,0.041,0.067,1.25E-05,3.80E-07,-0.059798989,0.045,0.067,0.013263125,0
188,Epha10,2.83E-08,-0.09087518,0.28,0.325,0.000985881,3.75E-08,-0.114126374,0.285,0.325,0.001308338,0
189,Esco1,9.42E-13,-0.105057307,0.366,0.432,3.29E-08,2.76E-11,-0.131842315,0.379,0.432,9.64E-07,0
190,Etl4,3.87E-84,-0.323558378,0.874,0.946,1.35E-79,9.18E-23,-0.149703647,0.898,0.946,3.20E-18,0
191,Etnk2,4.99E-23,-0.11846638,0.08,0.134,1.74E-18,3.40E-09,-0.091277589,0.099,0.134,0.000118415,0
192,Exph5,6.03E-10,-0.08705755,0.207,0.255,2.10E-05,6.26E-09,-0.109874338,0.213,0.255,0.000218417,0
193,Ext1,1.14E-30,-0.190430371,0.825,0.876,3.96E-26,2.50E-16,-0.127667879,0.83,0.876,8.72E-12,0
194,Fam168a,9.27E-11,-0.103711512,0.67,0.724,3.23E-06,3.65E-07,-0.066657549,0.696,0.724,0.012714754,0
195,Fam219a,1.76E-08,-0.094636507,0.494,0.547,0.000612582,8.09E-15,-0.14728718,0.494,0.547,2.82E-10,0
196,Farp1,1.20E-24,-0.171649135,0.604,0.685,4.18E-20,1.35E-11,-0.104696065,0.639,0.685,4.69E-07,0
197,Fat3,3.46E-34,-0.251235031,0.758,0.827,1.21E-29,4.44E-12,-0.102397365,0.768,0.827,1.55E-07,0
198,Fau,2.02E-77,0.442304928,0.476,0.329,7.04E-73,1.68E-15,0.275354225,0.4,0.329,5.85E-11,0
199,Fbxl2,7.51E-10,-0.084927385,0.49,0.545,2.62E-05,7.03E-07,-0.074943536,0.509,0.545,0.024519139,0
200,Fbxo34,1.53E-09,-0.081508164,0.407,0.465,5.34E-05,7.80E-14,-0.137676053,0.408,0.465,2.72E-09,1
201,Fgf1,1.00E-123,0.458260519,0.294,0.125,3.50E-119,1.02E-55,0.345276213,0.236,0.125,3.56E-51,0
