"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y"
"75","Frmpd3",674,1.17e-20,-0.128414925,0.138,0.201,4.07e-16,1.66e-12,0.09939269,0.189,0.138,5.79e-08,"#N/A",98,6.52e-10,-0.270742871,0.268,0.364,2.27e-05,2.63e-13,0.254079756,0.393,0.268,9.16e-09,"#N/A"
"76","Fth1",677,0,0.847968549,0.906,0.759,0,7e-150,-0.461066632,0.823,0.906,2.44e-145,"1",99,5.79e-71,0.727708045,0.853,0.694,2.02e-66,3.13e-34,-0.475373734,0.782,0.853,1.09e-29,"1"
"77","Gab2",683,4.43e-07,-0.079301657,0.283,0.326,0.015429217,4.68e-09,0.100102187,0.34,0.283,0.000163138,"1",101,9.25e-08,-0.190384564,0.464,0.572,0.003223559,1.08e-10,0.237393645,0.599,0.464,3.78e-06,"1"
"78","Gabarapl1",685,1.41e-69,0.406700312,0.462,0.327,4.91e-65,5.94e-61,-0.355758024,0.338,0.462,2.07e-56,"5",102,1.45e-12,0.348777678,0.427,0.324,5.06e-08,4.22e-10,-0.323436746,0.341,0.427,1.47e-05,"5"
"79","Galnt17",692,4.1e-22,-0.191948147,0.508,0.586,1.43e-17,2.66e-12,0.161304253,0.568,0.508,9.28e-08,"#N/A",104,6.65e-07,-0.151251686,0.291,0.381,0.023182743,1.08e-06,0.20133767,0.378,0.291,0.037550278,"#N/A"
"80","Gapdh",697,0,0.910754102,0.857,0.664,0,2.62e-121,-0.419398652,0.764,0.857,9.14e-117,"16",105,1.94e-78,0.775828948,0.858,0.714,6.75e-74,5.48e-25,-0.409394719,0.826,0.858,1.91e-20,"16"
"81","Gas2",699,3.19e-10,-0.083343483,0.142,0.184,1.11e-05,4.61e-09,0.08911478,0.183,0.142,0.000160782,"1",107,2.97e-07,-0.149662133,0.133,0.2,0.010345877,3.11e-09,0.161412057,0.213,0.133,0.000108298,"1"
"82","Gm10125",717,8.28e-11,-0.085184666,0.115,0.155,2.89e-06,2.35e-15,0.108907453,0.167,0.115,8.21e-11,"#N/A",109,9.82e-09,-0.179386951,0.181,0.266,0.000342501,1.39e-07,0.107775738,0.265,0.181,0.004843929,"#N/A"
"83","Gm15155",736,1.31e-47,-0.279974644,0.396,0.518,4.57e-43,4.73e-27,0.279560274,0.486,0.396,1.65e-22,"#N/A",110,2.24e-09,-0.30386231,0.109,0.179,7.8e-05,2.09e-07,0.238388494,0.169,0.109,0.007291874,"#N/A"
"84","Gm32391",781,1.61e-17,-0.068754577,0.028,0.059,5.62e-13,6.21e-11,0.043278028,0.052,0.028,2.16e-06,"#N/A",112,2.45e-07,-0.086075481,0.02,0.054,0.008530393,1.09e-06,0.082681294,0.052,0.02,0.037883927,"#N/A"
"85","Gm40841",805,1.57e-21,-0.178290201,0.498,0.576,5.46e-17,1.5e-26,0.21986088,0.598,0.498,5.24e-22,"#N/A",114,5.97e-07,-0.139697664,0.369,0.472,0.020807514,2.66e-07,0.125093536,0.476,0.369,0.009290281,"#N/A"
"86","Gm41361",806,1.2e-29,-0.142627661,0.131,0.208,4.2e-25,1.92e-39,0.180669101,0.226,0.131,6.68e-35,"#N/A",116,2.42e-07,-0.093864409,0.043,0.087,0.008424356,9.92e-08,0.110917221,0.089,0.043,0.00346016,"#N/A"
"87","Gm42770",813,1.01e-25,-0.165189248,0.264,0.349,3.51e-21,4.37e-21,0.168141479,0.346,0.264,1.52e-16,"#N/A",117,1.77e-07,-0.15576087,0.109,0.173,0.006183246,2.44e-07,0.136258094,0.173,0.109,0.008506386,"#N/A"
"88","Gm46102",837,4.09e-41,-0.185386728,0.066,0.139,1.43e-36,5.88e-48,0.198769611,0.149,0.066,2.05e-43,"#N/A",118,5.04e-22,-0.464708334,0.091,0.208,1.76e-17,6.7e-28,0.516099483,0.227,0.091,2.34e-23,"#N/A"
"89","Gm47283",842,7.24e-103,0.285620496,0.124,0.023,2.52e-98,4.05e-103,0.359432347,0.286,0.124,1.41e-98,"#N/A",119,1.34e-22,0.348463385,0.095,0.015,4.69e-18,9.64e-28,0.326991012,0.24,0.095,3.36e-23,"#N/A"
"90","Gm9866",869,2.26e-18,-0.12649361,0.17,0.233,7.89e-14,7.78e-32,0.197149342,0.262,0.17,2.71e-27,"#N/A",120,7.02e-18,-0.342476926,0.109,0.217,2.45e-13,6.85e-16,0.286670908,0.21,0.109,2.39e-11,"#N/A"
"91","Grin1",894,3.34e-80,-0.279919122,0.802,0.88,1.17e-75,5.26e-27,0.189913302,0.838,0.802,1.84e-22,"1",122,1.04e-11,-0.227504606,0.62,0.734,3.63e-07,2.76e-07,0.173190148,0.718,0.62,0.009609104,"1"
"92","Grip1",897,2.03e-16,-0.154683907,0.593,0.662,7.08e-12,4.12e-08,0.100783888,0.651,0.593,0.001436891,"#N/A",123,3.35e-18,-0.226155735,0.913,0.979,1.17e-13,1.25e-25,0.308569304,0.978,0.913,4.35e-21,"#N/A"
