X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
173,Arsb,4.68E-32,-0.188629797,0.4,0.499,1.63E-27,1.55E-14,0.129095897,0.478,0.4,5.40E-10,#N/A
174,Arsg,1.19E-12,-0.055703547,0.036,0.064,4.15E-08,2.07E-08,0.056512503,0.058,0.036,0.000721856,4
175,Asap2,1.68E-32,0.282258055,0.565,0.496,5.87E-28,2.79E-19,-0.208443659,0.514,0.565,9.72E-15,2
176,Atg10,2.53E-27,-0.16431848,0.203,0.288,8.82E-23,2.81E-32,0.204729753,0.302,0.203,9.81E-28,#N/A
177,Atg101,2.06E-13,0.102803342,0.112,0.073,7.17E-09,1.35E-06,-0.069797027,0.086,0.112,0.047021164,#N/A
178,Atg4c,6.47E-19,-0.129841497,0.305,0.382,2.26E-14,1.30E-10,0.095396957,0.371,0.305,4.53E-06,1
179,Atp11b,2.26E-55,-0.31743163,0.532,0.646,7.89E-51,8.62E-32,0.253821712,0.628,0.532,3.01E-27,#N/A
181,Atp1a3,3.81E-12,0.184778483,0.719,0.703,1.33E-07,9.61E-48,-0.273754237,0.642,0.719,3.35E-43,#N/A
183,Atp2a2,3.99E-35,0.28712398,0.732,0.685,1.39E-30,2.69E-56,-0.289920876,0.65,0.732,9.40E-52,#N/A
184,Atp2b1,3.22E-34,0.20137933,0.955,0.959,1.12E-29,5.20E-57,-0.245739458,0.932,0.955,1.81E-52,1
185,Atp2b2,3.83E-17,0.149384759,0.905,0.919,1.34E-12,5.95E-61,-0.26166764,0.876,0.905,2.08E-56,#N/A
186,Atp2b4,5.57E-20,0.226928113,0.429,0.364,1.94E-15,1.05E-14,-0.186718365,0.381,0.429,3.65E-10,2
187,Atp5a1,2.14E-21,0.276228359,0.551,0.497,7.45E-17,2.47E-28,-0.258634835,0.484,0.551,8.61E-24,#N/A
189,Atp5c1,4.69E-23,0.260002001,0.39,0.32,1.64E-18,2.00E-12,-0.160210616,0.341,0.39,6.99E-08,#N/A
190,Atp5d,1.33E-41,0.328018354,0.364,0.264,4.63E-37,4.13E-21,-0.177889739,0.295,0.364,1.44E-16,#N/A
191,Atp5e,5.57E-35,0.244814037,0.184,0.108,1.94E-30,9.47E-13,-0.097119353,0.137,0.184,3.30E-08,#N/A
196,Atp5j2,1.41E-15,0.220643034,0.296,0.24,4.93E-11,5.82E-08,-0.120157306,0.261,0.296,0.002027551,#N/A
199,Atp5mpl,2.54E-22,0.205938727,0.182,0.121,8.86E-18,1.80E-14,-0.096714995,0.133,0.182,6.28E-10,#N/A
201,Atp5pb,5.84E-33,0.298517696,0.438,0.346,2.04E-28,2.30E-14,-0.125248578,0.384,0.438,8.02E-10,#N/A
202,Atp6ap2,1.68E-25,0.25584355,0.446,0.371,5.87E-21,1.19E-14,-0.128020803,0.392,0.446,4.16E-10,#N/A
203,Atp6v0b,4.02E-35,0.231484736,0.858,0.831,1.40E-30,2.32E-31,-0.201944294,0.818,0.858,8.07E-27,4
205,Atp6v0e2,2.68E-14,0.180234988,0.256,0.202,9.35E-10,1.31E-07,-0.135614574,0.221,0.256,0.004565967,#N/A
206,Atp6v1a,5.99E-36,0.302611924,0.5,0.418,2.09E-31,7.59E-20,-0.17516065,0.444,0.5,2.65E-15,#N/A
207,Atp6v1b2,1.55E-08,0.170102207,0.556,0.526,0.000539598,4.76E-12,-0.126589011,0.516,0.556,1.66E-07,2
211,Atp6v1g1,1.10E-21,0.217384986,0.209,0.147,3.84E-17,2.10E-08,-0.104763235,0.172,0.209,0.000733793,3
212,Atp6v1g2,2.01E-18,0.225355144,0.426,0.363,7.02E-14,9.23E-14,-0.164625422,0.375,0.426,3.22E-09,#N/A
