"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"232","Hnrnpa2b1",1.0668950182015e-08,0.135279978007283,0.653,0.569,0.000371994285996316,0.135279978007283,9.75906892254819e-06,-0.105755659207134,0.595,0.653,0.340269456122488,-0.105755659207134,"non-sig","#00AFBB"
"233","Hras",2.61214470980329e-08,-0.30087821168016,0.08,0.114,0.000910776495967114,-0.30087821168016,0.254064450423542,0.0673134520996148,0.086,0.08,1,0.0673134520996148,"non-sig","#00AFBB"
"234","Hs3st3a1",4.98684765519369e-07,0.125548200511253,0.042,0.023,0.0173876417193638,0.125548200511253,0.00914480020139174,-0.0838107667537839,0.032,0.042,1,-0.0838107667537839,"non-sig","#00AFBB"
"235","Hsd17b11",5.61650306070533e-07,0.121449639816473,0.071,0.045,0.0195830612217613,0.121449639816473,0.19133000413837,-0.0146963040889725,0.064,0.071,1,-0.0146963040889725,"non-sig","#00AFBB"
"236","Hsp90aa1",1.32829799047116e-16,-0.377400263511036,0.392,0.448,4.63137660337578e-12,-0.377400263511036,0.0293541982359402,0.111250609699699,0.402,0.392,1,0.111250609699699,"non-sig","#00AFBB"
"237","Hsp90ab1",1.55805080148552e-18,-0.343899831527827,0.532,0.579,5.43245572953955e-14,-0.343899831527827,0.247477938657828,0.0457156156228034,0.528,0.532,1,0.0457156156228034,"non-sig","#00AFBB"
"238","Hspa8",9.55304013669572e-10,-0.323523725722732,0.387,0.418,3.3308585044617e-05,-0.323523725722732,0.856501826338581,0.0614366753882676,0.378,0.387,1,0.0614366753882676,"non-sig","#00AFBB"
"239","Htra1",7.6969273521534e-14,0.251299703212535,0.263,0.191,2.68368765987533e-09,0.251299703212535,1.53555866356736e-07,-0.180556999613044,0.215,0.263,0.0053540323922603,-0.180556999613044,"sig","#E7B800"
"240","Id1",3.68634568305557e-09,0.102885475864554,0.023,0.007,0.000128531814931098,0.102885475864554,0.00107399730064332,-0.0346525849158801,0.014,0.023,1,-0.0346525849158801,"non-sig","#00AFBB"
"241","Id3",1.48909976288329e-17,0.288333023354782,0.098,0.049,5.19204414324518e-13,0.288333023354782,5.62747234538017e-08,-0.153880918399205,0.067,0.098,0.0019621307826637,-0.153880918399205,"sig","#E7B800"
"242","Id4",1.31129896188615e-09,0.181057286431817,0.106,0.068,4.57210609040844e-05,0.181057286431817,0.000111201695290234,-0.133179350445256,0.082,0.106,1,-0.133179350445256,"non-sig","#00AFBB"
"243","Igfbp2",6.56447977062236e-08,0.169838837837534,0.058,0.033,0.0022888371616229,0.169838837837534,1.89790787735386e-07,-0.146313007055655,0.035,0.058,0.00661743539596971,-0.146313007055655,"sig","#E7B800"
"244","Ikzf2",7.30385718114461e-11,0.229005392931143,0.182,0.128,2.54663588334969e-06,0.229005392931143,0.000280503824816726,-0.0991096661954551,0.152,0.182,1,-0.0991096661954551,"non-sig","#00AFBB"
"245","Insr",2.62830544660267e-08,0.119526475067675,0.251,0.193,0.000916411260066954,0.119526475067675,0.0576554522445661,-0.0214109243254161,0.229,0.251,1,-0.0214109243254161,"non-sig","#00AFBB"
"246","Itgb3bp",3.81433823241335e-08,0.145603116871752,0.121,0.083,0.00132994531149556,0.145603116871752,0.161826536630175,-0.0339282157900535,0.111,0.121,1,-0.0339282157900535,"non-sig","#00AFBB"
"247","Itpr2",2.45676409032112e-09,0.151078828275494,0.312,0.244,8.56599935372265e-05,0.151078828275494,0.19271810367644,-0.0166741351499324,0.295,0.312,1,-0.0166741351499324,"non-sig","#00AFBB"
"248","Ivd",8.27819324350102e-18,0.283874118392485,0.185,0.116,2.8863576382115e-13,0.283874118392485,1.20133634823013e-09,-0.209207507693884,0.139,0.185,4.188699445374e-05,-0.209207507693884,"sig","#E7B800"
"249","Kansl1l",2.95325956245464e-08,0.164014606757307,0.36,0.293,0.00102971301164106,0.164014606757307,0.00673724754370554,-0.0777962349674035,0.328,0.36,1,-0.0777962349674035,"non-sig","#00AFBB"
