"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Eid12",7.38336989407125e-09,0.251271926925709,0.163,0.373,0.000257435958096582,"16","Eid1"
"Usp14",8.41632311373129e-09,0.358149512555495,0.136,0.329,0.000293451938006469,"16","Usp14"
"Ppp1r12a3",9.35771291853004e-09,0.258647043010268,0.272,0.572,0.000326275376330387,"16","Ppp1r12a"
"Smg63",9.44843154680419e-09,0.304796364887443,0.234,0.505,0.000329438462742422,"16","Smg6"
"Tacc13",9.91259442334017e-09,0.293495699133951,0.213,0.463,0.000345622429758602,"16","Tacc1"
"Rab141",9.99757825429289e-09,0.258730033885429,0.186,0.412,0.00034858556099243,"16","Rab14"
"Smarca5",1.06189491209637e-08,0.304295159251994,0.101,0.266,0.000370250899000643,"16","Smarca5"
"Sod22",1.08001043716436e-08,0.327624042631568,0.115,0.292,0.000376567239126098,"16","Sod2"
"Ddx241",1.0917636831249e-08,0.256840496464157,0.246,0.526,0.00038066524339516,"16","Ddx24"
"Srsf71",1.12251095281277e-08,0.323862110272367,0.228,0.494,0.000391385893917229,"16","Srsf7"
"Chd41",1.13235407070873e-08,0.282374239692358,0.169,0.381,0.000394817893834013,"16","Chd4"
"Ano44",1.33544720157233e-08,0.899873897347792,0.432,0.374,0.000465630375772225,"16","Ano4"
"Clk12",1.33810800580241e-08,0.27995545077638,0.178,0.396,0.000466558118383125,"16","Clk1"
"Abi24",1.51900354548779e-08,0.372653783963263,0.216,0.474,0.000529630966205229,"16","Abi2"
"Tspan132",1.53612857849434e-08,0.303797628433676,0.098,0.257,0.00053560195146362,"16","Tspan13"
"Gapdh3",1.55596217792177e-08,0.970052523309774,0.553,0.661,0.000542517332575983,"16","Gapdh"
"Clta1",1.58006291403716e-08,0.315010491435667,0.133,0.316,0.000550920536237338,"16","Clta"
"Sec631",1.60537997358251e-08,0.292484941169195,0.112,0.283,0.000559747835389013,"16","Sec63"
"Psmc6",1.81693333506149e-08,0.304903361389855,0.154,0.355,0.000633510145935889,"16","Psmc6"
