"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"33077","Gm13712",0.996925292449481,0.0358189854910094,0.0199671181542413,0.984069603245219,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33078","Spon2",0.996925292449481,0.0358189854910094,0.0199671181542413,0.984069603245219,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33079","Rgs9bp",0.990838697612372,0.0358325005471672,0.0199420490104105,0.984089601546122,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33080","Gm45470",36.5155846346408,0.00569640799403251,0.0199356653419375,0.984094693964271,0.994022336497665,0.00900043271311121,0.0088752346816863,"SD3D R7","ZT6"
"33081","Eno4",68.9572114568939,-0.00423939941492441,-0.0198625014787107,0.984153058724542,0.994022336497665,0.0174816096927737,0.0174944529783239,"SD3D R7","ZT6"
"33082","9330179D12Rik",213.649946950794,-0.00264896552090838,-0.0198517057439525,0.984161670776575,0.994022336497665,0.0491562094331458,0.0511179382147124,"SD3D R7","ZT6"
"33083","Gm20058",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33084","Gm7804",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33085","Gm13350",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33086","Idi1-ps1",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33087","Gm14453",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33088","Gm15999",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33089","Pla2g2e",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33090","Gm27177",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33091","1700067P10Rik",0.657335768166537,0.0443260102716477,0.0197731127893676,0.984224366575362,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
