"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"26550","Gas2l1",419.882379064775,-0.02433245388456,-0.281351317940544,0.778440953186412,0.906035251754661,0.0926756352765321,0.0991636798088411,"SD6h ZT0-ZT6","ZT6"
"26551","Gm36169",2.98049924437694,-0.285967534005532,-0.281311745017568,0.778471302686722,NA,0.000664341471516359,0.000853387950162144,"SD6h ZT0-ZT6","ZT6"
"26552","Gm16246",18.430108997421,0.113060392088712,0.281297018608118,0.778482596838082,0.906035251754661,0.00473343298455406,0.00443761734084315,"SD6h ZT0-ZT6","ZT6"
"26553","Gm37979",2.98420062959668,-0.285899707140254,-0.281274777196618,0.778499654572002,NA,0.000664341471516359,0.000853387950162144,"SD6h ZT0-ZT6","ZT6"
"26554","Brf2",101.534216860931,-0.049904199256193,-0.281262627468385,0.778508972678175,0.906035251754661,0.0239162929745889,0.0261136712749616,"SD6h ZT0-ZT6","ZT6"
"26555","ENSMUSG00000121192",9.61862384486041,-0.165770013721983,-0.281174160413867,0.778576822514359,NA,0.00215910978242817,0.00264550264550265,"SD6h ZT0-ZT6","ZT6"
"26556","A530021J07Rik",13.7568199651983,-0.138681007885801,-0.281141709177633,0.778601711423648,NA,0.00282345125394453,0.00366956818569722,"SD6h ZT0-ZT6","ZT6"
"26557","Armcx2",166.521153545824,0.0379409197697185,0.28113907339367,0.778603732983352,0.906038383848976,0.0393622321873443,0.0416453319679126,"SD6h ZT0-ZT6","ZT6"
"26558","ENSMUSG00000120053",95.47495126418,0.050193332430233,0.281135216253263,0.778606691286023,0.906038383848976,0.0232519515030726,0.02389486260454,"SD6h ZT0-ZT6","ZT6"
"26559","Mgst3",557.961115116802,0.0220059681101891,0.281063988935003,0.778661320925451,0.906046663944803,0.123484471018103,0.128861580474484,"SD6h ZT0-ZT6","ZT6"
"26560","Vax2os",2.987665995758,-0.287663159274273,-0.281036392631057,0.778682486920595,NA,0.000581298787576814,0.000853387950162144,"SD6h ZT0-ZT6","ZT6"
"26561","Gm44975",2.987665995758,-0.287663159274273,-0.281036392631057,0.778682486920595,NA,0.000664341471516359,0.000853387950162144,"SD6h ZT0-ZT6","ZT6"
"26562","Gm44001",30.8697415731732,-0.0891639567414173,-0.280943710948972,0.778753573729526,0.906098718497061,0.00730775618667995,0.00785116914149172,"SD6h ZT0-ZT6","ZT6"
"26563","2810442N19Rik",0.82631023066415,-0.550249439309236,-0.280930122213589,0.778763996439124,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26564","Mmrn1",0.82631023066415,-0.550249439309236,-0.280930122213589,0.778763996439124,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26565","Nos2",0.82631023066415,-0.550249439309236,-0.280930122213589,0.778763996439124,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26566","Gm4928",0.82631023066415,-0.550249439309236,-0.280930122213589,0.778763996439124,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26567","Gm47990",0.82631023066415,-0.550249439309236,-0.280930122213589,0.778763996439124,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26568","Gm48054",0.82631023066415,-0.550249439309236,-0.280930122213589,0.778763996439124,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26569","Sh2d1b1",0.826235763740693,-0.550124362534198,-0.280860009112231,0.77881777459177,NA,0.00016608536787909,0.000170677590032429,"SD6h ZT0-ZT6","ZT6"
"26570","Snora73b",0.826235763740693,-0.550124362534198,-0.280860009112231,0.77881777459177,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26571","Slc7a9",0.826235763740693,-0.550124362534198,-0.280860009112231,0.77881777459177,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26572","Gm45684",0.826235763740693,-0.550124362534198,-0.280860009112231,0.77881777459177,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26573","Gm14238",0.829862682036983,-0.549384935854507,-0.280829411802408,0.778841243672998,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26574","Gm5445",0.829862682036983,-0.549384935854507,-0.280829411802408,0.778841243672998,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26575","4933417A18Rik",0.829862682036983,-0.549384935854507,-0.280829411802408,0.778841243672998,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
